Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4,DSCI
2025-03-18,0.00,100.00,100.00,100.00,92.60,0.00,393
2025-03-11,0.00,100.00,100.00,100.00,92.60,0.00,393
2025-03-04,0.00,100.00,100.00,100.00,92.46,0.00,392
2025-02-25,0.00,100.00,100.00,100.00,92.46,0.00,392
2025-02-18,0.00,100.00,100.00,100.00,92.46,0.00,392
2025-02-11,0.00,100.00,100.00,100.00,92.46,0.00,392
2025-02-04,0.00,100.00,100.00,100.00,92.46,0.00,392
2025-01-28,0.00,100.00,100.00,100.00,92.46,0.00,392
2025-01-21,0.00,100.00,100.00,100.00,92.46,0.00,392
2025-01-14,0.00,100.00,100.00,100.00,92.46,0.00,392
2025-01-07,0.00,100.00,100.00,100.00,92.46,0.00,392
2024-12-31,0.00,100.00,100.00,100.00,92.46,0.00,392
2024-12-24,0.00,100.00,100.00,100.00,92.46,0.00,392
2024-12-17,0.00,100.00,100.00,100.00,92.46,0.00,392
2024-12-10,0.00,100.00,100.00,100.00,92.46,0.00,392
2024-12-03,0.00,100.00,100.00,100.00,92.46,0.00,392
2024-11-26,0.00,100.00,100.00,100.00,92.46,0.00,392
2024-11-19,0.00,100.00,100.00,100.00,92.46,0.00,392
2024-11-12,0.00,100.00,100.00,100.00,91.99,0.00,392
2024-11-05,0.00,100.00,100.00,99.99,50.68,0.00,351
2024-10-29,0.00,100.00,100.00,99.99,50.68,0.00,351
2024-10-22,0.00,100.00,100.00,99.99,50.68,0.00,351
2024-10-15,0.00,100.00,100.00,99.99,50.68,0.00,351
2024-10-08,0.00,100.00,100.00,98.15,50.68,0.00,349
2024-10-01,0.00,100.00,100.00,79.94,34.23,0.00,314
2024-09-24,0.00,100.00,100.00,79.94,0.04,0.00,280
2024-09-17,0.00,100.00,100.00,79.94,0.04,0.00,280
2024-09-10,0.00,100.00,100.00,79.94,0.04,0.00,280
2024-09-03,0.00,100.00,100.00,79.94,0.04,0.00,280
2024-08-27,0.00,100.00,100.00,98.57,18.76,0.00,317
2024-08-20,0.00,100.00,100.00,89.61,18.76,0.00,308
2024-08-13,0.00,100.00,100.00,89.61,0.00,0.00,290
2024-08-06,0.00,100.00,100.00,89.61,0.00,0.00,290
2024-07-30,0.00,100.00,100.00,13.32,0.00,0.00,213
2024-07-23,0.00,100.00,100.00,13.32,0.00,0.00,213
2024-07-16,0.00,100.00,100.00,16.64,0.00,0.00,217
2024-07-09,0.00,100.00,100.00,16.64,0.00,0.00,217
2024-07-02,0.00,100.00,100.00,13.18,0.00,0.00,213
2024-06-25,0.00,100.00,100.00,0.25,0.00,0.00,200
